ID03_electrodes;x;y;angle;center_x;center_y;;ID04_electrodes;x;y;angle;center_x;center_y;;ID05_electrodes;x;y;angle;center_x;center_y;;ID06_electrodes;x;y;angle;center_x;center_y;;ID07_electrodes;x;y;angle;center_x;center_y;;ID14_electrodes;x;y;angle;center_x;center_y;;ID15_electrodes;x;y;angle;center_x;center_y;;ID17_electrodes;x;y;angle;center_x;center_y;;ID18_electrodes;x;y;angle;center_x;center_y;;ID37_electrodes;x;y;angle;center_x;center_y;;ID38_electrodes;x;y;angle;center_x;center_y;;ID55_electrodes;x;y;angle;center_x;center_y;
1.0;810.0;412.0;0;715.0463727059982;380.6204581845055;;1.0;312.0;420.0;0;397.3084700495994;385.9909067785832;;1.0;368.0;360.0;0;459.49403147042864;342.00461204557786;;1.0;456.0;417.0;0;335.4766088544044;375.7295755362848;;1.0;387.0;386.0;0;457.71774632553075;376.7373434948285;;1.0;606.0;236.0;0;564.6569102874956;309.0916175961205;;1.0;391.0;278.0;0;460.53803731574067;323.7149262962581;;1.0;366.0;343.0;0;455.34939101217975;315.5409911801764;;1.0;395.0;364.0;0;499.83291770573567;345.38653366583543;;1.0;364.0;318.0;0;426.4742500663658;364.4105388903637;;1.0;439.0;273.0;0;511.66847225292946;352.3879062569091;;1.0;360.0;336.0;0;370.4599464465023;417.2007698315296;
2.0;733.0;479.0;24.42387167159525;;;;2.0;385.0;477.0;18.456286513453374;;;;2.0;419.0;426.0;27.538634081152765;;;;2.0;448.0;316.0;4.754424031709281;;;;2.0;434.0;444.0;27.184455981095578;;;;2.0;506.0;249.0;31.38589071886741;;;;2.0;395.0;375.0;23.65039579603057;;;;2.0;457.0;409.0;24.272913615597258;;;;2.0;465.0;446.0;18.047995960931175;;;;2.0;362.0;408.0;35.30128046572567;;;;2.0;412.0;393.0;35.058662121785524;;;;2.0;289.0;409.0;32.19912347633288;;;
3.0;644.0;451.0;65.25688451112464;;;;3.0;473.0;438.0;42.894529944545326;;;;3.0;502.0;425.0;56.28323212575853;;;;3.0;356.0;250.0;10.590230708744738;;;;3.0;512.0;423.0;61.23229765147384;;;;3.0;502.0;365.0;69.8656498238354;;;;3.0;496.0;399.0;61.06540511996063;;;;3.0;545.0;342.0;53.53930054725941;;;;3.0;567.0;428.0;53.43074227268246;;;;3.0;445.0;440.0;72.92195367177352;;;;3.0;510.0;460.0;70.46362685697508;;;;3.0;333.0;490.0;68.676961160454;;;
4.0;597.0;358.0;98.64846536507115;;;;4.0;474.0;329.0;72.41787024445591;;;;4.0;555.0;355.0;93.57465700581918;;;;4.0;250.0;265.0;22.00381144152595;;;;4.0;535.0;347.0;95.22992011220747;;;;4.0;607.0;411.0;110.03820482665012;;;;4.0;560.0;318.0;101.61439494162177;;;;4.0;543.0;242.0;84.99812994891656;;;;4.0;607.0;321.0;87.49354558014501;;;;4.0;517.0;381.0;112.0532293455812;;;;4.0;618.0;409.0;105.18144627081105;;;;4.0;448.0;485.0;107.6406524314587;;;
5.0;655.0;268.0;132.55036875118194;;;;5.0;389.0;270.0;109.03215154248004;;;;5.0;529.0;278.0;126.02706127258907;;;;5.0;185.0;349.0;49.16231227544276;;;;5.0;486.0;286.0;128.67898734796805;;;;5.0;680.0;347.0;154.15159628826547;;;;5.0;547.0;218.0;143.51827658930557;;;;5.0;449.0;180.0;116.907769401933;;;;5.0;534.0;235.0;119.80870886874055;;;;5.0;522.0;291.0;145.74155338712546;;;;5.0;643.0;299.0;141.8879465027863;;;;5.0;488.0;390.0;149.81342815205917;;;
6.0;764.0;255.0;170.1488727736031;;;;6.0;296.0;292.0;163.40248758081486;;;;6.0;450.0;244.0;162.0632651761882;;;;6.0;206.0;451.0;89.63617440452245;;;;6.0;401.0;267.0;162.58821209685158;;;;6.0;673.0;234.0;204.8083765642838;;;;6.0;450.0;169.0;186.18285475100117;;;;6.0;332.0;202.0;151.44704414050733;;;;6.0;419.0;228.0;154.1554086914923;;;;6.0;449.0;236.0;186.94647581199484;;;;6.0;560.0;208.0;183.18779510354827;;;;6.0;417.0;298.0;194.12975894107643;;;
7.0;857.0;313.0;213.38719949158164;;;;7.0;245.0;360.0;196.57266523832092;;;;7.0;368.0;267.0;207.18602066973787;;;;7.0;297.0;509.0;133.3608623703686;;;;7.0;328.0;315.0;199.8045723772223;;;;7.0;574.0;178.0;256.0062361188019;;;;7.0;356.0;209.0;224.62876324315818;;;;7.0;265.0;300.0;189.4085421541488;;;;7.0;326.0;304.0;196.2121343305493;;;;7.0;353.0;248.0;229.1547411975077;;;;7.0;440.0;198.0;226.59615464592991;;;;7.0;294.0;300.0;248.57693111301398;;;
8.0;889.0;418.0;262.7432064381013;;;;8.0;278.0;504.0;239.62132565032383;;;;8.0;321.0;334.0;260.0787477364022;;;;8.0;404.0;527.0;173.60471868806792;;;;8.0;308.0;399.0;244.44867901497975;;;;8.0;461.0;211.0;308.9252180367416;;;;8.0;315.0;311.0;267.80430428054035;;;;8.0;270.0;422.0;234.09745961397164;;;;8.0;305.0;420.0;247.96207156134022;;;;8.0;287.0;323.0;271.6632590656505;;;;8.0;343.0;278.0;275.96665782305257;;;;8.0;217.0;383.0;304.2197075675506;;;
9.0;836.0;506.0;313.8300801382353;;;;9.0;369.0;571.0;297.10171597724616;;;;9.0;325.0;417.0;310.4677712772668;;;;9.0;512.0;516.0;215.86618207474194;;;;9.0;346.0;477.0;296.0905895007006;;;;9.0;407.0;311.0;358.1687567584486;;;;9.0;343.0;412.0;315.236801295726;;;;9.0;351.0;510.0;286.78204118931444;;;;9.0;377.0;510.0;307.94390571041663;;;;9.0;282.0;409.0;319.5897762507647;;;;9.0;317.0;397.0;326.12035012657896;;;;9.0;223.0;501.0;358.4152569962356;;;
10.0;745.0;541.0;369.40764797182584;;;;10.0;473.0;585.0;368.212144534756;;;;10.0;398.0;483.0;365.59999716121126;;;;10.0;614.0;518.0;262.80305183372883;;;;10.0;423.0;515.0;357.5764202125052;;;;10.0;433.0;423.0;428.9893766415027;;;;10.0;428.0;470.0;383.3031969923187;;;;10.0;468.0;539.0;343.2226691356779;;;;10.0;491.0;535.0;371.651529288162;;;;10.0;346.0;485.0;385.4343314386515;;;;10.0;377.0;500.0;388.9772855464787;;;;10.0;305.0;584.0;434.47833025397426;;;
11.0;632.0;523.0;425.0200956268806;;;;11.0;582.0;569.0;431.42064471008393;;;;11.0;474.0;502.0;418.45782285975633;;;;11.0;707.0;520.0;315.57195472412076;;;;11.0;509.0;518.0;426.56011185024954;;;;11.0;531.0;488.0;516.4239245054373;;;;11.0;533.0;480.0;460.4812842694247;;;;11.0;585.0;519.0;415.7676947834398;;;;11.0;612.0;520.0;429.85974053655656;;;;11.0;436.0;504.0;455.1434973223667;;;;11.0;488.0;546.0;455.91950307894774;;;;11.0;418.0;594.0;502.99829462212386;;;
12.0;524.0;516.0;486.3905098740102;;;;12.0;695.0;533.0;491.9832418673319;;;;12.0;561.0;500.0;471.5920706235631;;;;12.0;810.0;516.0;362.43474716406314;;;;12.0;597.0;506.0;489.6745955810165;;;;12.0;646.0;524.0;590.2256843627484;;;;12.0;643.0;485.0;531.8465862833337;;;;12.0;708.0;481.0;489.69617800877955;;;;12.0;721.0;526.0;490.6954658070472;;;;12.0;533.0;495.0;525.8128823140037;;;;12.0;615.0;546.0;525.6192919349395;;;;12.0;539.0;573.0;579.9093757367132;;;
